Dia,"Nome do conjunto de anúncios","Status de veiculação","Nível de veiculação","Configuração de atribuição","Tipo de resultado",Resultados,Alcance,Frequência,"Custo por resultado","Valor gasto (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões)","Cliques no link","Cliques na loja","CPC (custo por clique no link)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos)","Visualizações da página de destino","Custo por visualização da página de destino","Taxa de impressões para reproduções de vídeo por 3 segundos","Body Rate","Cliques para abrir a experiência instantânea","Cliques para iniciar a experiência instantânea","Cliques de saída da experiência instantânea",Leads,Contatos,"Novos contatos de mensagem","Conversas por mensagem iniciadas","Seguidores no Instagram","Início dos relatórios","Encerramento dos relatórios","Resultados (iniciais)"
2026-08-31,"Natação | Lins 17 KM | 18 + | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",9,3064,1.44778068,4.67111111,42.04,�,�,�,4436,9.47700631,30,0,1.40133333,0.67628494,49,1.10459874,0.85795918,,,0.15532011,0.45210728,,,,9,,6,6,2,2026-08-31,2026-08-31,
2026-08-31,"Personal | Lins 17 KM | 18+ a 55 | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",5,2179,1.35383203,8.144,40.72,�,�,�,2950,13.80338983,25,0,1.6288,0.84745763,57,1.93220339,0.71438596,,,0.2,0.31818182,,,,5,,2,3,0,2026-08-31,2026-08-31,
2026-08-31,"[LINS 17KM] [H-M]",active,adset,"Clique de 1 dia","Visitas ao perfil do Instagram",30,1286,1.01477449,0.26633333,7.99,�,�,�,1305,6.12260536,23,0,0.3473913,1.76245211,22,1.68582375,0.36318182,,,0.20689655,0.54166667,,,,,,,,1,2026-08-31,2026-08-31,
2026-08-30,"[LINS 17KM] [H-M]",active,adset,"Clique de 1 dia","Visitas ao perfil do Instagram",22,1242,1.05394525,0.32545455,7.16,�,�,�,1309,5.46982429,20,0,0.358,1.52788388,20,1.52788388,0.358,,,0.19938885,0.6056338,,,,,,,,1,2026-08-30,2026-08-30,
2026-08-30,"Personal | Lins 17 KM | 18+ a 55 | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",5,2515,1.35387674,11.142,55.71,�,�,�,3405,16.36123348,42,0,1.32642857,1.23348018,73,2.14390602,0.76315068,,,0.2246696,0.3772242,,,,5,,1,1,0,2026-08-30,2026-08-30,
2026-08-30,"Natação | Lins 17 KM | 18 + | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",3,2620,1.36412214,10.73666667,32.21,�,�,�,3574,9.01231114,25,0,1.2884,0.69949636,43,1.20313374,0.74906977,,,0.13710129,0.36619718,,,,3,,1,1,0,2026-08-30,2026-08-30,
2026-08-30,"LINS 17 KM | H-M | 18+",active,adset,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,2010,1.23930348,11.095,22.19,�,�,�,2491,8.90806905,10,0,2.219,0.4014452,75,3.01083902,0.29586667,,,0.26334805,0.49815498,,,,,,1,2,1,2026-08-30,2026-08-30,
2026-08-29,"[LINS 17KM] [H-M]",active,adset,"Clique de 1 dia","Visitas ao perfil do Instagram",43,1044,1.06417625,0.15023256,6.46,�,�,�,1111,5.81458146,33,0,0.19575758,2.97029703,33,2.97029703,0.19575758,,,0.24482448,0.62857143,,,,,,,,1,2026-08-29,2026-08-29,
2026-08-29,"Personal | Lins 17 KM | 18+ a 55 | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",7,1402,1.28887304,4.98285714,34.88,�,�,�,1807,19.30271168,33,0,1.0569697,1.82623132,49,2.71167681,0.71183673,,,0.26175982,0.32183908,,,,7,,2,2,0,2026-08-29,2026-08-29,
2026-08-29,"Natação | Lins 17 KM | 18 + | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",3,1796,1.24164811,9.02666667,27.08,�,�,�,2230,12.14349776,16,0,1.6925,0.71748879,28,1.25560538,0.96714286,,,0.14977578,0.38333333,,,,3,,2,2,1,2026-08-29,2026-08-29,
