"Nome da campanha",Dia,"Status de veiculação","Nível de veiculação","Configuração de atribuição","Tipo de resultado",Resultados,Alcance,Frequência,"Custo por resultado","Valor gasto (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões)","Cliques no link","Cliques na loja","CPC (custo por clique no link)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos)","Visualizações da página de destino","Custo por visualização da página de destino","Taxa de impressões para reproduções de vídeo por 3 segundos","Body Rate","Cliques para abrir a experiência instantânea","Cliques para iniciar a experiência instantânea","Cliques de saída da experiência instantânea",Leads,Contatos,"Novos contatos de mensagem","Conversas por mensagem iniciadas","Seguidores no Instagram","Início dos relatórios","Encerramento dos relatórios","Resultados (iniciais)"
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-07-30,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,1150,1.65391304,12.83,25.66,�,�,�,1902,13.49106204,10,0,2.566,0.52576236,28,1.4721346,0.91642857,,,0,,,,,,,1,2,0,2026-07-30,2026-07-30,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-07-30,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",21,1124,1.01423488,0.29952381,6.29,�,�,�,1140,5.51754386,22,0,0.28590909,1.92982456,20,1.75438596,0.3145,,,0.24473684,0.35211268,,,,,,,,2,2026-07-30,2026-07-30,
"FORMS [ABO] [FRIO] 22.06.2026",2026-07-30,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",5,3697,1.29483365,10.354,51.77,�,�,�,4787,10.8147065,45,0,1.15044444,0.94004596,72,1.50407353,0.71902778,,,0.21328598,0.45480226,,,,5,,4,4,2,2026-07-30,2026-07-30,
"FORMS [ABO] [FRIO] 22.06.2026",2026-07-29,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",2,4624,1.36980969,29.105,58.21,�,�,�,6334,9.19008525,43,0,1.35372093,0.67887591,93,1.4682665,0.62591398,,,0.19718977,0.47477064,,,,2,,2,2,5,2026-07-29,2026-07-29,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-07-29,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",6,2486,1.48873693,7.705,46.23,�,�,�,3701,12.49121859,22,0,2.10136364,0.59443394,54,1.45906512,0.85611111,,,0,,,,,,,3,6,0,2026-07-29,2026-07-29,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-07-29,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",36,1194,1.01842546,0.18166667,6.54,�,�,�,1216,5.37828947,34,0,0.19235294,2.79605263,32,2.63157895,0.204375,,,0.26726974,0.34065934,,,,,,,,1,2026-07-29,2026-07-29,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-07-28,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",6,2780,1.51654676,8.36833333,50.21,�,�,�,4216,11.90939279,20,0,2.5105,0.4743833,45,1.06736243,1.11577778,,,0,,,,,,,6,6,0,2026-07-28,2026-07-28,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-07-28,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",41,1299,1.02232487,0.17243902,7.07,�,�,�,1328,5.32379518,38,0,0.18605263,2.86144578,38,2.86144578,0.18605263,,,0.24849398,0.23404255,,,,,,,,3,2026-07-28,2026-07-28,
"FORMS [ABO] [FRIO] 22.06.2026",2026-07-28,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",6,3822,1.37414966,9.54,57.24,�,�,�,5252,10.89870526,54,0,1.06,1.02817974,89,1.69459254,0.64314607,,,0.11176695,0.40465116,,,,6,,1,1,2,2026-07-28,2026-07-28,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-07-27,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,1902,1.53312303,36.09,36.09,�,�,�,2916,12.37654321,17,0,2.12294118,0.5829904,42,1.44032922,0.85928571,,,0,,,,,,,1,1,0,2026-07-27,2026-07-27,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-07-27,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",28,1422,1.02601969,0.27107143,7.59,�,�,�,1459,5.20219328,26,0,0.29192308,1.78204249,26,1.78204249,0.29192308,,,0.23166552,0.29411765,,,,,,,,4,2026-07-27,2026-07-27,
"FORMS [ABO] [FRIO] 22.06.2026",2026-07-27,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",5,3908,1.45957011,11.556,57.78,�,�,�,5704,10.12973352,33,0,1.75090909,0.57854137,61,1.06942496,0.94721311,,,0.15340112,0.39007092,,,,5,,3,5,2,2026-07-27,2026-07-27,
"FORMS [ABO] [FRIO] 22.06.2026",2026-07-26,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",5,4722,1.40660737,12.89,64.45,�,�,�,6642,9.70340259,52,0,1.23942308,0.78289672,93,1.40018067,0.69301075,,,0.18774466,0.39904988,,,,5,,2,2,3,2026-07-26,2026-07-26,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-07-26,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",32,1547,1.00711054,0.2446875,7.83,�,�,�,1558,5.02567394,33,0,0.23727273,2.11810013,30,1.92554557,0.261,,,0.22593068,0.30909091,,,,,,,,0,2026-07-26,2026-07-26,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-07-26,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,1961,1.29984702,11.18666667,33.56,�,�,�,2549,13.16594743,17,0,1.97411765,0.66692821,40,1.56924284,0.839,,,0,,,,,,,3,3,0,2026-07-26,2026-07-26,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-07-25,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",8,2970,1.24040404,5.42,43.36,�,�,�,3684,11.76981542,24,0,1.80666667,0.6514658,58,1.57437568,0.74758621,,,0,,,,,,,6,8,0,2026-07-25,2026-07-25,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-07-25,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",31,1203,1,0.2216129,6.87,�,�,�,1203,5.71072319,30,0,0.229,2.49376559,31,2.57689111,0.2216129,,,0.24189526,0.29268293,,,,,,,,2,2026-07-25,2026-07-25,
"FORMS [ABO] [FRIO] 22.06.2026",2026-07-25,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",8,3647,1.30655333,7.4775,59.82,�,�,�,4765,12.55403987,49,0,1.22081633,1.02833158,71,1.49003148,0.84253521,,,0.18321091,0.35962145,,,,8,,7,7,0,2026-07-25,2026-07-25,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-07-24,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",4,3221,1.23253648,8.9075,35.63,�,�,�,3970,8.97481108,30,0,1.18766667,0.75566751,78,1.96473552,0.45679487,,,0,,,,,,,4,4,0,2026-07-24,2026-07-24,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-07-24,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",22,1286,1.01010886,0.29863636,6.57,�,�,�,1299,5.05773672,22,0,0.29863636,1.69361047,22,1.69361047,0.29863636,,,0.234796,0.41052632,,,,,,,,1,2026-07-24,2026-07-24,
"FORMS [ABO] [FRIO] 22.06.2026",2026-07-24,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",3,3583,1.53837566,19.40333333,58.21,�,�,�,5512,10.56059507,47,0,1.23851064,0.85268505,90,1.63280116,0.64677778,,,0.19557329,0.33910891,,,,3,,2,2,2,2026-07-24,2026-07-24,
"FORMS [ABO] [FRIO] 22.06.2026",2026-07-23,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",3,3515,1.30611664,16.51333333,49.54,�,�,�,4591,10.79067741,40,0,1.2385,0.87126988,76,1.65541276,0.65184211,,,0.22936179,0.31540342,,,,3,,2,2,1,2026-07-23,2026-07-23,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-07-23,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",5,2744,1.21793003,7.028,35.14,�,�,�,3342,10.51466188,18,0,1.95222222,0.53859964,53,1.58587672,0.66301887,,,0,,,,,,,3,5,0,2026-07-23,2026-07-23,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-07-23,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",36,1180,1.03389831,0.19194444,6.91,�,�,�,1220,5.66393443,37,0,0.18675676,3.03278689,36,2.95081967,0.19194444,,,0.23032787,0.35227273,,,,,,,,1,2026-07-23,2026-07-23,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-07-22,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",19,1229,1,0.37,7.03,�,�,�,1229,5.72009764,17,0,0.41352941,1.38323841,17,1.38323841,0.41352941,,,0.22620016,0.37931034,,,,,,,,2,2026-07-22,2026-07-22,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-07-22,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",7,3633,1.2268098,5.89142857,41.24,�,�,�,4457,9.25286067,34,0,1.21294118,0.76284496,92,2.06416872,0.44826087,,,0,,,,,,,7,7,0,2026-07-22,2026-07-22,
"FORMS [ABO] [FRIO] 22.06.2026",2026-07-22,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",3,4482,1.26974565,18.44333333,55.33,�,�,�,5691,9.72236865,54,0,1.02462963,0.94886663,92,1.61658759,0.60141304,,,0.21894219,0.33744856,,,,3,,2,2,3,2026-07-22,2026-07-22,
