"Nome da campanha",Dia,"Status de veiculação","Nível de veiculação","Configuração de atribuição","Tipo de resultado",Resultados,Alcance,Frequência,"Custo por resultado","Valor gasto (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões)","Cliques no link","Cliques na loja","CPC (custo por clique no link)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos)","Visualizações da página de destino","Custo por visualização da página de destino","Taxa de impressões para reproduções de vídeo por 3 segundos","Body Rate","Cliques para abrir a experiência instantânea","Cliques para iniciar a experiência instantânea","Cliques de saída da experiência instantânea",Leads,Contatos,"Novos contatos de mensagem","Conversas por mensagem iniciadas","Seguidores no Instagram","Início dos relatórios","Encerramento dos relatórios","Resultados (iniciais)"
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-29,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,2242,1.26895629,7.81,23.43,�,�,�,2845,8.23550088,25,0,0.9372,0.87873462,86,3.0228471,0.27244186,,,0.06713533,0.55913978,,,,,,2,3,0,2026-08-29,2026-08-29,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-29,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",43,1044,1.06417625,0.15023256,6.46,�,�,�,1111,5.81458146,33,0,0.19575758,2.97029703,33,2.97029703,0.19575758,,,0.24482448,0.62857143,,,,,,,,1,2026-08-29,2026-08-29,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-29,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",10,2943,1.37172953,6.196,61.96,�,�,�,4037,15.34803072,49,0,1.2644898,1.2137726,77,1.90735695,0.80467532,,,0.19990092,0.34693878,,,,10,,4,4,1,2026-08-29,2026-08-29,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-28,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",7,3311,1.33373603,9.82571429,68.78,�,�,�,4416,15.57518116,55,0,1.25054545,1.24547101,81,1.83423913,0.8491358,,,0.1723279,0.25,,,,7,,4,4,0,2026-08-28,2026-08-28,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-28,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",28,1081,1.02035153,0.26607143,7.45,�,�,�,1103,6.75430644,24,0,0.31041667,2.17588395,24,2.17588395,0.31041667,,,0.20852221,0.6031746,,,,,,,,1,2026-08-28,2026-08-28,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-28,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,1349,1.3573017,15.18,15.18,�,�,�,1831,8.29055161,6,0,2.53,0.32768979,34,1.85690879,0.44647059,,,0,,,,,,,1,1,0,2026-08-28,2026-08-28,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-08-28,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,754,1.09018568,2.14,6.42,�,�,�,822,7.81021898,4,0,1.605,0.486618,12,1.45985401,0.535,,,0.1703163,0.39393939,,,,,,1,3,1,2026-08-28,2026-08-28,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-08-27,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,1100,1.18181818,5.22,10.44,�,�,�,1300,8.03076923,6,0,1.74,0.46153846,21,1.61538462,0.49714286,,,0.16461538,0.34210526,,,,,,1,2,2,2026-08-27,2026-08-27,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-27,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,1895,1.21108179,7.01666667,21.05,�,�,�,2295,9.17211329,8,0,2.63125,0.34858388,36,1.56862745,0.58472222,,,0,,,,,,,1,3,1,2026-08-27,2026-08-27,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-27,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",27,920,1.05434783,0.21888889,5.91,�,�,�,970,6.09278351,16,0,0.369375,1.64948454,15,1.54639175,0.394,,,0.22164948,0.66176471,,,,,,,,0,2026-08-27,2026-08-27,
